id,city,country,population
214,Puyang,China,3598740
215,San Francisco,United States,3592294
216,Jiaozuo,China,3590700
217,Hechi,China,3545700
218,Montreal,Canada,3519595
219,Detroit,United States,3506126
220,Chengde,China,3473201
221,Busan,South Korea,3453198
222,Algiers,Algeria,3415811
223,Hanzhong,China,3416196
224,Shiyan,China,3398000
225,Lucknow,India,3382000
226,Siping,China,3385156
227,Yulinshi,China,3351436
228,Changzhi,China,3334565
229,Qinzhou,China,3304400
230,Bazhou,China,3283148
231,Qincheng,China,3262549
232,Zhongshan,China,3260000
233,Suining,China,3252619
234,Leshan,China,3235759
235,San Diego,United States,3220118
236,Faisalabad,Pakistan,3203846
237,Guang'an,China,3205476
238,Tongren,China,3168800
239,Bengbu,China,3164467
240,Santa Cruz,Bolivia,3151676
241,Qinhuangdao,China,3146300
242,Tongliao,China,3139153
243,Jinzhou,China,3126463
244,Zhenjiang,China,3113384
245,Urumqi,China,3112559
246,Heyuan,China,3093900
247,Jaipur,India,3073350
248,Xinzhou,China,3067501
249,Wuzhou,China,3061100
250,Addis Ababa,Ethiopia,3041002
251,Chaoyang,China,3044641
252,Brasilia,Brazil,3015268
253,Mashhad,Iran,3001184
254,Shaoguan,China,2997600
255,Kuwait City,Kuwait,2989000
256,Shanwei,China,2993600
257,Quezon City,Philippines,2960048
258,Minneapolis,United States,2977172
259,Kyiv,Ukraine,2963199
260,Sanaa,Yemen,2957000
261,Meishan,China,2950545
262,Guatemala City,Guatemala,2934841
263,Incheon,South Korea,2913024
264,Ningde,China,2910000
265,Tampa,United States,2908063
266,Daqing,China,2904532
267,Putian,China,2900000
268,Bandung,Indonesia,2875673
269,Surabaya,Indonesia,2885555
270,Salvador,Brazil,2886698
271,Denver,United States,2876625
272,Rome,Italy,2872800
273,La Paz,Bolivia,2867504
274,Hohhot,China,2866615
275,Xiangtan,China,2864800
276,Pyongyang,North Korea,2863000
277,Taichung,Taiwan,2803894
278,Weihai,China,2804771
279,Rizhao,China,2801013
280,Mudanjiang,China,2798723
281,Kaohsiung,Taiwan,2773533
282,Guayaquil,Ecuador,2723665
283,Tieling,China,2717732
284,Cawnpore,India,2701324
285,Dingxi,China,2698624
286,Taipei,Taiwan,2684567
287,Nanping,China,2690000
288,Zigong,China,2678899
289,Chaozhou,China,2656600
290,Baotou,China,2650364
291,Gulou,China,2606000
292,Longyan,China,2640000
293,Ankang,China,2629906
294,Baoshan,China,2627000
295,Huludao,China,2623541
296,Antananarivo,Madagascar,2610000
297,Yanjiang,China,2593843
298,Chattogram,Bangladesh,2581643
299,Santo Domingo,Dominican Republic,2581827
300,Sanming,China,2580000
301,Longba,China,2567718
302,Brooklyn,United States,2559903
303,Yangjiang,China,2555600
304,Jiamusi,China,2552097
305,Ibadan,Nigeria,2550593
306,Luohe,China,2544266
307,Lincang,China,2536000
308,Medellin,Colombia,2529403
309,Xuanzhou,China,2532938
310,Yunfu,China,2526900
311,Dubai,United Arab Emirates,2502715
312,Mirzapur,India,2496970
313,Tashkent,Uzbekistan,2497900
314,Guangyuan,China,2484122
315,Cali,Colombia,2471474
316,Huangshi,China,2471700
317,Ouagadougou,Burkina Faso,2453496
318,Daegu,South Korea,2461002
319,Fortaleza,Brazil,2452185
320,Yaounde,Cameroon,2440462
321,Douala,Cameroon,2446945
322,Jilin,China,2396000
323,Dandong,China,2444697
324,Lianshan,China,2426000
325,Yingkou,China,2428534
326,Nagpur,India,2405665
327,Omdurman,Sudan,2395159
328,Bekasi,Indonesia,2381053
329,Ghaziabad,India,2375820
330,Yuxi,China,2386000
331,Brisbane,Australia,2360241
332,Anshun,China,2353100
333,Depok,Indonesia,2330333
334,Shangzhou,China,2341742
335,Huainan,China,2333896
336,Kuaidamao,China,2324439
337,Accra,Ghana,2291352
338,Fukuoka,Japan,2280000
339,Jincheng,China,2279146
340,Vancouver,Canada,2264823
341,Tangerang,Indonesia,2237006
342,Sanmenxia,China,2234018
343,Laibin,China,2233900
344,Queens,United States,2230722
345,Qinbaling,China,2211191
346,Xining,China,2208708
347,Ma'anshan,China,2202899
348,Yan'an,China,2187009
349,Baku,Azerbaijan,2181800
350,Gaoping,China,2174000
351,Harare,Zimbabwe,2150000
352,Havana,Cuba,2141652
353,Phnom Penh,Cambodia,2129371
354,Ningbo,China,2125500
355,Mogadishu,Somalia,2120000
356,Puning,China,2118200
357,Medan,Indonesia,2109330
358,Huaibei,China,2114276
359,Qingyang,China,2111000
360,Riverside,United States,2107852
361,Baltimore,United States,2106068
362,Haiphong,Vietnam,2103500
363,Las Vegas,United States,2104198
364,Chongzuo,China,2099400
365,Rawalpindi,Pakistan,2098231
366,Kumasi,Ghana,2069350
367,Portland,United States,2074775
368,Vadodara,India,2065771
369,Hezhou,China,2072600
370,Pingliang,China,2068033
371,San Antonio,United States,2049293
372,Perth,Australia,2039200
373,Vishakhapatnam,India,2035922
374,Shengli,China,2035338
375,Gujranwala,Pakistan,2027001
376,Baicheng,China,2032356
377,Fushun,China,2024000
378,St. Louis,United States,2024074
379,Bamako,Mali,2009109
380,Quito,Ecuador,2011388
381,Minsk,Belarus,2009786
382,Indore,India,1994397
383,Yinchuan,China,1993088
384,Kananga,Congo (Kinshasa),1971704
385,Peshawar,Pakistan,1970042
386,Sapporo,Japan,1961690
387,Esfahan,Iran,1961260
388,Caracas,Venezuela,1943901
389,Pingxiang,China,1933200
390,Aleppo,Syria,1916781
391,Tijuana,Mexico,1922523
392,Almaty,Kazakhstan,1916822
393,Vienna,Austria,1911191
394,Thane,India,1886941
395,Sacramento,United States,1898019
396,Blantyre,Malawi,1895973
397,Tainan,Taiwan,1883831
398,Zhuhai,China,1891100
399,Bucharest,Romania,1883425
400,Curitiba,Brazil,1879355
401,Multan,Pakistan,1871843
402,Xiping,China,1873000
403,Ecatepec,Mexico,1857188
404,Jixi,China,1862165
405,Saidu Sharif,Pakistan,1860310
406,Liaoyang,China,1858768
407,Hamburg,Germany,1852478
408,Meru,Kenya,1833000
409,Brazzaville,Congo (Brazzaville),1827000
410,Orlando,United States,1822394
411,Fuxin,China,1819339
412,Wuwei,China,1815059
413,Manaus,Brazil,1802014
414,Bhopal,India,1798218
415,San Jose,United States,1798103
416,Warsaw,Poland,1790658
417,Lubumbashi,Congo (Kinshasa),1786397
418,Davao,Philippines,1776949
419,Haikou,China,1776141
420,Damascus,Syria,1754000
421,Shuyangzha,China,1770000
422,Brussels,Belgium,1743000
423,Lusaka,Zambia,1742979
424,Hyderabad City,Pakistan,1732693
425,Budapest,Hungary,1723836
426,Shuozhou,China,1714857
427,Cleveland,United States,1710093
428,Benxi,China,1709538
429,Baiyin,China,1708751
430,Pittsburgh,United States,1703266
431,Patna,India,1684222
432,Mosul,Iraq,1694000
433,Caloocan City,Philippines,1661584
434,Austin,United States,1687311
435,Sanzhou,China,1680000
436,Beihai,China,1680000
437,Mecca,Saudi Arabia,1675368
438,Heihe,China,1673899
439,Jingdezhen,China,1673200
440,Conakry,Guinea,1667864
441,Kampala,Uganda,1659600
442,Cincinnati,United States,1662691
443,Recife,Brazil,1653461
444,Yushan,China,1651200
445,Zhongli,Taiwan,1632616
446,Kansas City,United States,1636715
447,Manhattan,United States,1628706
448,Bilaspur,India,1625502
449,Semarang,Indonesia,1621384
450,Ludhiana,India,1618879
451,Novosibirsk,Russia,1602915
452,Chengtangcun,China,1603659
453,Agra,India,1592000
454,Karaj,Iran,1592492
455,Wenzhou,China,1588700
456,Indianapolis,United States,1588961
457,Leon de los Aldama,Mexico,1579803
458,Puebla,Mexico,1576259
459,Kalyan,India,1576614
460,Madurai,India,1561129
461,Mbuji-Mayi,Congo (Kinshasa),1559073
462,Hebi,China,1569208
463,Shiraz,Iran,1565572
464,Jamshedpur,India,1558000
465,Columbus,United States,1562009
466,Tabriz,Iran,1558693
467,Maracaibo,Venezuela,1551539
468,Kawasaki,Japan,1539522
469,Aba,Nigeria,1530000
470,Palembang,Indonesia,1535952
471,Zhangjiajie,China,1537900
472,Kobe,Japan,1513193
473,Charlotte,United States,1512923
474,Changshu,China,1510100
475,Lianjiang,China,1509400
476,Ximeicun,China,1508000
477,Jianguang,China,1507402
478,Yucheng,China,1507258
479,Belem,Brazil,1499641
480,Guiping,China,1496904
481,Leizhou,China,1494700
482,Gwangju,South Korea,1490092
483,Munich,Germany,1488202
484,Nasik,India,1486053
485,Porto Alegre,Brazil,1484941
486,Valencia,Venezuela,1484430
487,Onitsha,Nigeria,1483000
488,Abu Dhabi,United Arab Emirates,1483000
489,Virginia Beach,United States,1478868
490,Daejeon,South Korea,1475221
491,Zapopan,Mexico,1476491
492,Yekaterinburg,Russia,1468833
493,Huazhou,China,1468061
494,Kyoto,Japan,1464890
495,Shuangyashan,China,1462626
496,Pizhou,China,1458038
497,El Kelaa des Srarhna,Morocco,1450021
498,Kharkiv,Ukraine,1446107
499,Yangshe,China,1432044
500,Guyuan,China,1426000
501,Khulna,Bangladesh,1400689
502,Muscat,Oman,1421409
503,Bronx,United States,1418207
504,Gaozhou,China,1414100
505,Chizhou,China,1402518
506,Faridabad,India,1394000
507,Ulaanbaatar,Mongolia,1396288
508,Goiania,Brazil,1393575
509,Fuqing,China,1390487
510,Belgrade,Serbia,1378682
511,Pingdu,China,1378900
512,Milan,Italy,1366180
513,Aurangabad,India,1371330
514,Yutan,China,1368117
515,Milwaukee,United States,1365787
516,Huangshan,China,1358980
517,Auckland,New Zealand,1346091
518,Makassar,Indonesia,1338663
519,Santiago,Dominican Republic,1343423
520,Prague,Czechia,1335084
521,Rajkot,India,1335397
522,Liangshi,China,1335900
523,Cordoba,Argentina,1329604
524,Guarulhos,Brazil,1324781
525,Al Basrah,Iraq,1326564
526,Saitama,Japan,1320571
527,Juarez,Mexico,1321004
528,Montevideo,Uruguay,1319108
529,Xintai,China,1315942
530,Wusong,China,1311726
531,Meerut,India,1305429
532,Yushu,China,1304436
533,Rongcheng,China,1302891
534,Huazhou,China,1302100
535,Yangquan,China,1300000
536,Adelaide,Australia,1295714
537,Baishan,China,1296127
538,Dayan,China,1296000
539,Haicheng,China,1293877
540,Jiangyin,China,1285785
541,Huaiyin,China,1264000
542,Wuzhong,China,1284000
543,Cacuaco,Angola,1279488
544,Barranquilla,Colombia,1274250
545,Sofia,Bulgaria,1277411
546,Soweto,South Africa,1271628
547,Jabalpur,India,1267564
548,Rucheng,China,1267066
549,Nizhniy Novgorod,Russia,1264075
550,Shaoyang,China,1253548
551,Dhanbad,India,1246000
552,Comayaguela,Honduras,1250000
553,Laiwu,China,1248636
554,Sharjah,United Arab Emirates,1247749
555,Jingling,China,1247400
556,Kazan,Russia,1243500
557,Suwon,South Korea,1234300
558,Yongcheng,China,1240382
559,Calgary,Canada,1239220
560,Can Tho,Vietnam,1237300
561,Abuja,Nigeria,1235880
562,Mandalay,Myanmar,1225546
563,Beidao,China,1225000
564,Xiangshui,China,1221000
565,Dadukou,China,1214121
566,Vila Velha,Brazil,1209091
567,Chelyabinsk,Russia,1202371
568,Mombasa,Kenya,1200000
569,Providence,United States,1203230
570,Varanasi,India,1198491
571,Qom,Iran,1201158
572,Zhangye,China,1199515
573,Hiroshima,Japan,1198021
574,Maiduguri,Nigeria,1197497
575,Maputo,Mozambique,1191613
576,Doha,Qatar,1186023
577,Rosario,Argentina,1193605
578,Pikine,Senegal,1170791
579,Xinyu,China,1186700
580,Ahvaz,Iran,1184788
581,Jacksonville,United States,1181496
582,Medina,Saudi Arabia,1180770
583,Srinagar,India,1180570
584,Omsk,Russia,1178391
585,Liaoyuan,China,1176239
586,Cilacap,Indonesia,1174964
587,Yingtan,China,1175000
588,Bandar Lampung,Indonesia,1166761
589,Samara,Russia,1169719
590,Guankou,China,1168056
591,Ulsan,South Korea,1166033
592,Dingzhou,China,1165182
593,Campinas,Brazil,1164098
594,Lianyuan,China,1162928
595,Dakar,Senegal,1146053
596,Rongcheng,China,1162770
597,Kaiyuan,China,1160000
598,Nay Pyi Taw,Myanmar,1160242
599,Kigali,Rwanda,1156663
600,Leiyang,China,1151554
601,Yichun,China,1148126
602,Benin City,Nigeria,1147188
603,Birmingham,United Kingdom,1137100
604,Xiantao,China,1140100
605,Amritsar,India,1132383
606,Callao,Peru,1129854
607,Monterrey,Mexico,1135512
608,Aligarh,India,1131160
609,Yingchuan,China,1131896
610,Ciudad Nezahualcoyotl,Mexico,1109363
611,Tripoli,Libya,1126000
612,Nampo,North Korea,1127000
613,Rostov,Russia,1125299
614,Tegucigalpa,Honduras,1126534
615,Tbilisi,Georgia,1118035
616,Guwahati,India,1116267
617,Ufa,Russia,1115560
618,Fes,Morocco,1112072
619,Bien Hoa,Vietnam,1104000
620,N'Djamena,Chad,1092066
621,Ikare,Nigeria,1099931
622,Salt Lake City,United States,1098526
623,Bhilai,India,1097000
624,Haora,India,1077075
625,Tamale,Ghana,1095808
626,Xibeijie,China,1095947
627,Copenhagen,Denmark,1085000
628,Nezahualcoyotl,Mexico,1077208
629,Hanchuan,China,1092700
630,Gongzhuling,China,1092692
631,Krasnoyarsk,Russia,1083865
632,Cologne,Germany,1083498
633,Yicheng,China,1082929
634,Zhufeng,China,1081960
635,Sao Goncalo,Brazil,1077687
636,Nashville,United States,1081903
637,Yerevan,Armenia,1075800
638,Nur-Sultan,Kazakhstan,1078362
639,Nouakchott,Mauritania,1077169
640,Vereeniging,South Africa,1074000
641,Richmond,United States,1075798
642,Sao Luis,Brazil,1073893
643,Ranchi,India,1073440
644,San Pedro Sula,Honduras,1073824
645,Taixing,China,1073921
646,Gwalior,India,1069276
647,Memphis,United States,1066967
648,Goyang,South Korea,1061929
649,Bezwada,India,1048240
650,Edmonton,Canada,1062643
651,Bishkek,Kyrgyzstan,1053900
652,Mizhou,China,1060000
653,Tunis,Tunisia,1056247
654,Xishan,China,1060000
655,Ezhou,China,1059700
656,Barquisimeto,Venezuela,1059092
657,Sendai,Japan,1058070
658,Hegang,China,1058665
659,Kathmandu,Nepal,975453
660,Mexicali,Mexico,1049792
661,Voronezh,Russia,1047549
662,Perm,Russia,1048005
663,Changwon,South Korea,1046054
664,Zhongwei,China,1046000
665,Shouguang,China,1039205
666,Bogor,Indonesia,1030720
667,Raleigh,United States,1038738
668,Cartagena,Colombia,1036412
669,Chandigarh,India,1026459
670,Matola,Mozambique,1032197
671,Jodhpur,India,1033918
672,Ogbomoso,Nigeria,1032000
673,Shymkent,Kazakhstan,1028673
674,Niamey,Niger,1026848
675,Taizhou,China,1030200
676,Managua,Nicaragua,1028808
677,Bagam,Indonesia,1029808
678,Shubra al Khaymah,Egypt,1025569
679,Maceio,Brazil,1025360
680,Monrovia,Liberia,1021762
681,Wafangdian,China,1024876
682,Zhongxiang,China,1022514
683,Odesa,Ukraine,1017699
684,Port-au-Prince,Haiti,987310
685,New Orleans,United States,1020886
686,Villahermosa,Mexico,1013484
687,Thu Duc,Vietnam,1013795
688,Volgograd,Russia,1015586
689,Mysore,India,1014227
690,Islamabad,Pakistan,1014825
691,Xinyi,China,1013900
692,Raipur,India,1010087
693,Arequipa,Peru,1008290
694,Port Harcourt,Nigeria,1005904
695,Louisville,United States,1005654
696,Zaoyang,China,1004741
697,Shuizhai,China,1003698
698,Xingyi,China,1004132
699,Kota,India,1001694
700,Quetta,Pakistan,1001205
701,Ottawa,Canada,989567
702,Stockholm,Sweden,975819
703,Asmara,Eritrea,963000
704,Freetown,Sierra Leone,951000
705,Vientiane,Laos,948487
706,Jerusalem,Israel,919438
707,Bangui,Central African Republic,889231
708,Panama City,Panama,880691
709,Amsterdam,Netherlands,862965
710,Lome,Togo,837437
711,Libreville,Gabon,797003
712,Zagreb,Croatia,790017
713,Dushanbe,Tajikistan,778500
714,Lilongwe,Malawi,781538
715,Cotonou,Benin,762000
716,Colombo,Sri Lanka,752993
717,Pretoria,South Africa,741651
